location,date,SO2,PM10,O3,NO2,CO,PM25
MCD,20180111,0.003,31,0.019,0.017,0.5,16
MCD,20180112,0.003,32,0.018,0.025,0.5,17
MCD,20180113,0.004,45,0.015,0.031,0.6,28
MCD,20180114,0.004,45,0.012,0.034,0.8,35
MCD,20180115,0.006,55,0.012,0.044,1.1,37
MCD,20180116,0.005,,0.008,0.042,0.8,53
MCD,20180117,0.002,33,0.013,0.035,0.6,27
MCD,20180118,0.006,111,0.013,0.037,0.8,67
MCD,20180119,0.004,76,0.008,0.038,0.8,43
MCD,20180120,0.004,78,0.01,0.036,0.8,40
MCD,20180121,0.004,114,0.01,0.037,1,71
MCD,20180122,0.004,71,0.019,0.031,0.8,44
MCD,20180123,0.003,32,0.028,0.013,0.4,14
MCD,20180124,0.003,37,0.026,0.013,0.3,11
MCD,20180125,0.004,31,0.021,0.019,0.4,12
MCD,20180126,0.004,35,0.021,0.019,0.5,15
MCD,20180127,0.005,56,0.006,0.04,0.7,40
MCD,20180128,0.005,38,0.024,0.024,0.5,24
MCD,20180129,0.004,53,0.027,0.017,0.5,19
MCD,20180130,0.003,52,0.017,0.025,0.5,19
MCD,20180131,0.004,52,0.011,0.036,0.6,21
GSD,20180101,0.003,41,0.019,0.014,0.6,20
GSD,20180102,0.003,51,0.009,0.033,0.8,31
GSD,20180103,0.003,29,0.028,0.01,0.4,15
GSD,20180104,0.003,39,0.019,0.013,0.4,23
GSD,20180105,0.003,48,0.018,0.021,0.5,32
GSD,20180106,0.003,36,0.024,0.016,0.5,23
GSD,20180107,0.003,52,0.005,0.028,0.8,40
GSD,20180108,0.002,48,0.012,0.028,0.6,38
GSD,20180109,0.002,30,0.034,0.007,0.3,19
GSD,20180110,0.002,28,0.03,0.006,0.3,14
GSD,20180111,0.002,25,0.026,0.008,0.3,14
GSD,20180112,0.002,26,0.028,0.011,0.3,15
GSD,20180113,0.002,46,0.01,0.027,0.5,36
GSD,20180114,0.002,59,0.008,0.04,0.7,47
GSD,20180115,0.002,54,0.016,0.032,0.5,41
GSD,20180116,0.003,64,0.008,0.042,0.6,54
GSD,20180117,0.002,43,0.014,0.022,0.5,38
GSD,20180118,0.004,96,0.023,0.013,0.7,64
GSD,20180119,0.003,64,0.011,0.028,0.7,42
GSD,20180120,0.002,66,0.013,0.031,0.7,42
GSD,20180121,0.002,86,0.013,0.021,0.8,62
GSD,20180122,0.002,66,0.024,0.022,0.6,49
GSD,20180123,0.002,29,0.039,0.004,0.2,17
GSD,20180124,0.002,33,0.037,0.004,0.3,13
GSD,20180125,0.002,27,0.035,0.005,0.3,13
GSD,20180126,0.002,31,0.034,0.004,0.3,17
GSD,20180127,0.003,49,0.01,0.019,0.4,34
GSD,20180128,0.003,38,0.034,0.008,0.4,24
GSD,20180129,0.003,42,0.037,0.005,0.3,20
GSD,20180130,0.002,42,0.022,0.016,0.3,20
GSD,20180131,0.002,44,0.026,0.014,0.3,21
NED,20180101,0.003,51,0.016,0.028,0.6,20
NED,20180102,0.004,64,0.01,0.038,0.8,31
NED,20180103,0.003,30,0.027,0.019,0.4,13
NED,20180104,0.003,44,0.016,0.027,0.4,20
NED,20180105,0.003,54,0.017,0.032,0.5,26
NED,20180106,0.003,43,0.021,0.03,0.5,21
NED,20180107,0.004,60,0.004,0.041,0.8,30
NED,20180108,0.003,58,0.014,0.031,0.6,31
NED,20180109,0.002,32,0.038,0.011,0.3,14
NED,20180110,0.002,31,0.03,0.014,0.3,12
NED,20180111,0.001,28,0.026,0.016,0.3,14
NED,20180112,0.002,25,0.026,0.023,0.3,12
NED,20180113,0.003,52,0.011,0.039,0.5,29
NED,20180114,0.003,69,0.011,0.044,0.8,42
NED,20180115,0.003,63,0.019,0.037,0.6,33
NED,20180116,0.003,86,0.006,0.047,0.7,44
NED,20180117,0.002,51,0.014,0.033,0.5,27
NED,20180118,0.004,124,0.019,0.029,0.7,64
NED,20180119,0.003,76,0.012,0.037,0.7,36
NED,20180120,0.003,84,0.014,0.037,0.8,39
NED,20180121,0.003,115,0.014,0.035,0.8,64
NED,20180122,0.003,76,0.028,0.026,0.6,36
NED,20180123,0.002,31,0.039,0.009,0.3,12
NED,20180124,0.002,36,0.034,0.011,0.3,11
NED,20180125,0.002,28,0.031,0.014,0.3,12
NED,20180126,0.003,31,0.03,0.016,0.3,15
NED,20180127,0.003,55,0.011,0.036,0.5,30
NED,20180128,0.003,42,0.032,0.019,0.4,23
NED,20180129,0.003,51,0.033,0.016,0.3,19
NED,20180130,0.002,49,0.023,0.025,0.4,21
NED,20180131,0.003,50,0.023,0.026,0.4,21
SND,20180101,0.007,59,0.01,0.032,0.8,21
SND,20180102,0.007,71,0.005,0.039,1,28
SND,20180103,0.007,43,0.015,0.024,0.5,17
SND,20180104,0.006,55,0.009,0.032,0.5,20
SND,20180105,0.006,66,0.009,0.039,0.6,27
SND,20180106,0.006,55,0.013,0.034,0.7,23
SND,20180107,0.006,66,0.006,0.037,1,27
SND,20180108,0.005,71,0.007,0.036,0.8,30
SND,20180109,0.003,43,0.023,0.019,0.5,19
SND,20180110,0.004,39,0.019,0.019,0.4,15
SND,20180111,0.004,38,0.018,0.019,0.4,17
SND,20180112,0.004,39,0.018,0.026,0.4,16
SND,20180113,0.006,60,0.011,0.038,0.8,24
SND,20180114,0.006,71,0.011,0.041,1,30
SND,20180115,0.009,75,0.011,0.05,1.3,31
SND,20180116,0.006,84,0.01,0.045,1,40
SND,20180117,0.003,52,0.012,0.035,0.7,24
SND,20180118,0.007,130,0.013,0.034,0.9,47
SND,20180119,0.006,86,0.009,0.041,0.9,33
SND,20180120,0.006,90,0.009,0.042,1,32
SND,20180121,0.005,124,0.011,0.039,1.1,52
SND,20180122,0.004,86,0.018,0.034,0.7,31
SND,20180123,0.003,41,0.026,0.015,0.4,14
SND,20180124,0.004,45,0.023,0.017,0.4,12
SND,20180125,0.005,38,0.022,0.019,0.5,14
SND,20180126,0.005,41,0.019,0.021,0.5,19
SND,20180127,0.005,66,0.007,0.041,0.7,29
SND,20180128,0.005,52,0.022,0.025,0.5,22
SND,20180129,0.004,56,0.023,0.021,0.5,21
SND,20180130,0.004,56,0.016,0.029,0.6,21
SND,20180131,0.005,58,0.013,0.034,0.6,21
JLD,20180101,0.002,55,0.014,0.02,0.5,21
JLD,20180102,0.003,63,0.009,0.027,0.7,32
JLD,20180103,0.003,38,0.016,0.023,0.5,16
JLD,20180104,0.003,46,0.011,0.029,0.5,22
JLD,20180105,0.003,52,0.01,0.033,0.5,30
JLD,20180106,0.003,47,0.01,0.032,0.6,24
JLD,20180107,0.003,65,0.002,0.037,0.9,44
JLD,20180108,0.002,54,0.009,0.033,0.7,44
JLD,20180109,0.002,42,0.027,0.015,0.4,17
JLD,20180110,0.002,37,0.021,0.017,0.4,13
JLD,20180111,0.002,38,0.017,0.017,0.4,15
JLD,20180112,0.002,32,0.022,0.019,0.4,16
JLD,20180113,0.002,46,0.016,0.027,0.6,29
JLD,20180114,0.002,55,0.011,0.029,0.7,37
JLD,20180115,0.003,56,0.012,0.034,0.8,34
JLD,20180116,0.003,77,0.005,0.041,0.8,51
JLD,20180117,0.002,38,0.013,0.033,0.6,30
JLD,20180118,0.004,111,0.012,0.035,0.8,67
JLD,20180119,0.003,75,0.007,0.035,0.7,37
JLD,20180120,0.003,78,0.012,0.028,0.7,38
JLD,20180121,0.003,101,0.009,0.031,0.9,58
JLD,20180122,0.003,69,0.02,0.028,0.7,41
JLD,20180123,0.002,37,0.027,0.015,0.3,14
JLD,20180124,0.003,40,0.025,0.015,0.3,10
JLD,20180125,0.003,31,0.022,0.017,0.4,11
JLD,20180126,0.003,34,0.021,0.019,0.4,14
JLD,20180127,0.003,53,0.006,0.039,0.6,32
JLD,20180128,0.004,40,0.024,0.023,0.5,23
JLD,20180129,0.003,51,0.023,0.019,0.4,17
JLD,20180130,0.002,50,0.02,0.02,0.4,19
JLD,20180131,0.003,47,0.016,0.029,0.5,19
DSD,20180101,0.002,55,0.01,0.022,0.5,22
DSD,20180102,0.002,63,0.005,0.03,0.7,29
DSD,20180103,0.003,37,0.013,0.018,0.4,16
DSD,20180104,0.002,47,0.008,0.024,0.4,23
DSD,20180105,0.003,54,0.008,0.029,0.4,27
DSD,20180106,0.003,46,0.011,0.025,0.4,22
DSD,20180107,0.003,63,0.002,0.036,0.8,30
DSD,20180108,0.002,52,0.005,0.031,0.6,30
DSD,20180109,0.001,42,0.015,0.016,0.4,21
DSD,20180110,0.002,41,0.014,0.015,0.3,16
DSD,20180111,0.001,35,0.013,0.014,0.4,17
DSD,20180112,0.002,35,0.014,0.018,0.4,16
DSD,20180113,0.003,50,0.005,0.035,0.6,24
DSD,20180114,0.002,68,0.005,0.038,0.9,37
DSD,20180115,0.002,60,0.007,0.036,0.7,31
DSD,20180116,0.003,75,0.004,0.04,0.7,44
DSD,20180117,0.001,44,0.007,0.031,0.5,25
DSD,20180118,0.004,109,0.013,0.026,0.7,
DSD,20180119,0.003,78,0.006,0.034,0.6,42
DSD,20180120,0.002,80,0.006,0.033,0.7,39
DSD,20180121,0.002,103,0.007,0.031,0.8,58
DSD,20180122,0.002,75,0.011,0.03,0.6,44
DSD,20180123,0.002,36,0.018,0.011,0.3,18
DSD,20180124,0.002,39,0.016,0.012,0.3,16
DSD,20180125,0.002,33,0.014,0.014,0.4,15
DSD,20180126,0.002,37,0.013,0.014,0.5,19
DSD,20180127,0.003,57,0.005,0.032,0.6,34
DSD,20180128,0.003,41,0.015,0.018,0.5,27
DSD,20180129,0.002,52,0.015,0.014,0.4,28
DSD,20180130,0.002,54,0.01,0.023,0.4,23
DSD,20180131,0.002,51,0.01,0.026,0.4,24
DHD,20180101,0.005,57,0.01,0.037,0.8,25
DHD,20180102,0.006,75,0.005,0.047,1.1,36
DHD,20180103,0.006,45,0.014,0.034,0.5,16
DHD,20180104,0.005,60,0.009,0.041,0.5,26
DHD,20180105,0.005,68,0.007,0.052,0.6,36
DHD,20180106,0.005,51,0.011,0.044,0.7,28
DHD,20180107,0.005,69,0.004,0.047,1,42
DHD,20180108,0.004,63,0.005,0.046,0.8,47
DHD,20180109,0.003,35,0.02,0.029,0.4,19
DHD,20180110,0.002,31,0.019,0.026,0.3,15
DHD,20180111,0.002,32,0.016,0.029,0.4,17
DHD,20180112,0.002,37,0.016,0.036,0.3,18
DHD,20180113,0.004,47,0.012,0.044,0.6,32
DHD,20180114,0.004,62,0.008,0.05,0.9,44
DHD,20180115,0.005,62,0.009,0.062,1.2,45
DHD,20180116,0.004,76,0.006,0.054,0.9,55
DHD,20180117,0.002,39,0.01,0.043,0.6,30
DHD,20180118,0.005,135,0.011,0.042,0.8,69
DHD,20180119,0.004,100,0.006,0.046,0.9,44
DHD,20180120,0.005,89,0.008,0.047,1,41
DHD,20180121,0.004,137,0.009,0.045,1.1,65
DHD,20180122,0.004,92,0.015,0.046,0.7,43
DHD,20180123,0.002,46,0.026,0.023,0.3,17
DHD,20180124,0.001,46,0.023,0.023,0.3,11
DHD,20180125,0.002,42,0.019,0.03,0.4,14
DHD,20180126,0.002,44,0.019,0.03,0.4,17
DHD,20180127,0.003,76,0.005,0.052,0.7,36
DHD,20180128,0.004,53,0.02,0.038,0.5,23
DHD,20180129,0.003,61,0.022,0.034,0.4,18
DHD,20180130,0.003,61,0.014,0.043,0.5,18
DHD,20180131,0.004,62,0.013,0.047,0.5,21
WPD,20180101,0.002,52,0.013,0.015,0.7,23
WPD,20180102,0.002,56,0.007,0.024,1,35
WPD,20180103,0.003,38,0.016,0.018,0.6,19
WPD,20180104,0.003,56,0.01,0.025,0.6,23
WPD,20180105,0.003,55,0.011,0.027,0.7,41
WPD,20180106,0.003,50,0.014,0.022,0.7,30
WPD,20180107,0.003,59,0.002,0.03,1.2,41
WPD,20180108,0.002,49,0.009,0.026,0.9,42
WPD,20180109,0.002,40,0.025,0.014,0.3,20
WPD,20180110,0.002,38,0.018,0.016,0.3,15
WPD,20180111,0.002,34,0.017,0.015,0.4,17
WPD,20180112,0.002,36,0.02,0.017,0.3,17
WPD,20180113,0.003,45,0.014,0.024,0.7,32
WPD,20180114,0.002,49,0.009,0.024,0.9,
WPD,20180115,0.003,53,0.014,0.024,0.7,38
WPD,20180116,0.003,,0.007,0.03,0.9,
WPD,20180117,0.002,,0.011,0.028,0.8,38
WPD,20180118,0.004,,0.012,0.029,1.1,80
WPD,20180119,0.003,71,0.007,0.03,1,47
WPD,20180120,0.003,70,0.013,0.021,0.9,44
WPD,20180121,0.003,80,0.009,0.027,1,63
WPD,20180122,0.003,62,0.02,0.023,0.8,48
WPD,20180123,0.002,42,0.025,0.015,0.4,15
WPD,20180124,0.003,46,0.023,0.016,0.4,12
WPD,20180125,0.003,38,0.02,0.017,0.4,13
WPD,20180126,0.003,42,0.021,0.017,0.4,16
WPD,20180127,0.003,54,0.008,0.029,0.7,36
WPD,20180128,0.004,43,0.022,0.021,0.6,26
WPD,20180129,0.003,56,0.022,0.018,0.5,19
WPD,20180130,0.002,54,0.022,0.014,0.5,19
WPD,20180131,0.003,57,0.016,0.025,0.6,22
UND,20180201,0.005,59,0.013,0.057,0.5,25
UND,20180202,0.005,72,0.01,0.065,0.7,32
UND,20180203,0.003,51,0.026,0.028,0.5,17
UND,20180204,0.003,34,0.031,0.017,0.3,13
UND,20180205,0.003,50,0.021,0.036,0.5,19
UND,20180206,0.003,54,0.023,0.033,0.4,22
UND,20180207,0.004,52,0.014,0.052,0.5,22
UND,20180208,0.005,89,0.008,0.073,0.9,46
UND,20180209,0.005,100,0.011,0.081,1,60
UND,20180210,0.003,87,0.022,0.051,0.6,36
UND,20180211,0.002,55,0.031,0.022,0.3,11
UND,20180212,0.005,59,0.024,0.036,0.4,16
UND,20180213,0.002,61,0.02,0.05,0.5,16
UND,20180214,0.005,92,0.024,0.063,0.6,29
UND,20180215,0.005,56,0.03,0.03,0.4,21
UND,20180216,0.004,58,0.024,0.041,0.5,21
UND,20180217,0.003,52,0.036,0.016,0.3,13
UND,20180218,0.004,53,0.017,0.05,0.5,17
UND,20180219,0.005,82,0.01,0.068,0.7,43
UND,20180220,0.004,94,0.017,0.059,0.7,54
UND,20180221,0.006,60,0.021,0.053,0.4,22
UND,20180222,0.004,72,0.021,0.056,0.6,29
UND,20180223,0.002,83,0.036,0.038,0.5,43
UND,20180224,0.005,90,0.036,0.039,0.6,50
UND,20180225,0.006,61,0.023,0.05,0.5,28
UND,20180226,0.005,76,0.014,0.07,0.7,33
UND,20180227,0.005,91,0.016,0.067,0.7,40
UND,20180228,0.005,49,0.024,0.047,0.5,28
MPD,20180201,0.004,63,0.019,0.027,0.7,30
MPD,20180202,0.004,69,0.015,0.031,0.9,38
MPD,20180203,0.003,51,0.034,0.014,0.6,21
MPD,20180204,0.002,37,0.037,0.01,0.5,17
MPD,20180205,0.003,39,0.029,0.017,0.5,18
MPD,20180206,0.002,41,0.032,0.015,0.4,19
MPD,20180207,0.004,55,0.019,0.026,0.6,30
MPD,20180208,0.004,78,0.013,0.034,0.8,50
MPD,20180209,0.005,88,0.018,0.037,0.8,62
MPD,20180210,0.003,83,0.028,0.022,0.6,41
MPD,20180211,0.002,50,0.039,0.01,0.4,14
MPD,20180212,0.002,51,0.03,0.019,0.4,18
MPD,20180213,0.004,51,0.023,0.027,0.4,20
MPD,20180214,0.004,83,0.031,0.03,0.6,36
MPD,20180215,0.004,56,0.039,0.013,0.4,24
MPD,20180216,0.004,58,0.028,0.02,0.5,29
MPD,20180217,0.003,49,0.04,0.011,0.4,15
MPD,20180218,0.003,50,0.019,0.024,0.5,25
MPD,20180219,0.003,78,0.014,0.033,0.6,52
MPD,20180220,,94,,,,58
MPD,20180221,,54,,,,27
MPD,20180222,0.004,64,0.021,0.032,0.6,33
MPD,20180223,0.003,85,0.044,0.023,0.5,52
MPD,20180224,0.005,98,0.045,0.019,0.6,59
MPD,20180225,0.006,58,0.03,0.022,0.6,36
MPD,20180226,0.005,68,0.016,0.035,0.6,38
MPD,20180227,0.004,72,0.018,0.036,0.6,41
MPD,20180228,0.003,57,0.029,0.028,0.5,33
MCD,20180201,0.005,48,0.012,0.034,0.6,26
MCD,20180202,0.005,57,0.008,0.04,0.7,36
MCD,20180203,0.003,39,0.024,0.016,0.5,17
MCD,20180204,0.003,30,0.029,0.012,0.4,13
MCD,20180205,0.003,33,0.024,0.017,0.5,14
MCD,20180206,0.003,31,0.022,0.019,0.4,17
MCD,20180207,0.004,49,0.014,0.03,0.5,26
MCD,20180208,0.005,66,0.008,0.042,0.7,44
MCD,20180209,0.005,64,0.015,0.04,0.6,52
MCD,20180210,0.004,64,0.023,0.026,0.5,31
MCD,20180211,0.002,43,0.03,0.012,0.3,11
MCD,20180212,0.002,47,0.025,0.017,0.3,15
MCD,20180213,0.003,43,0.024,0.021,0.4,12
MCD,20180214,0.003,72,0.04,0.018,0.4,27
MCD,20180215,0.005,50,0.025,0.022,0.4,23
MCD,20180216,0.005,47,0.021,0.025,0.5,23
MCD,20180217,0.003,42,0.034,0.012,0.3,12
MCD,20180218,0.005,43,0.015,0.028,0.6,19
MCD,20180219,0.005,65,0.008,0.04,0.8,44
MCD,20180220,0.004,78,0.016,0.034,0.7,51
MCD,20180221,0.004,43,0.023,0.026,0.5,21
MCD,20180222,0.004,48,0.021,0.028,0.5,27
MCD,20180223,0.003,69,0.042,0.014,0.5,42
MCD,20180224,0.005,84,0.034,0.023,0.6,54
MCD,20180225,0.008,48,0.019,0.032,0.7,30
MCD,20180226,0.005,51,0.016,0.033,0.6,30
MCD,20180227,0.004,54,0.017,0.034,0.6,30
MCD,20180228,0.004,35,0.024,0.024,0.5,19
GSD,20180201,0.003,44,0.02,0.017,0.4,25
GSD,20180202,0.003,48,0.016,0.028,0.5,30
GSD,20180203,0.002,35,0.035,0.012,0.3,17
GSD,20180204,0.002,29,0.04,0.003,0.2,15
GSD,20180205,0.002,27,0.034,0.009,0.3,15
GSD,20180206,0.002,30,0.034,0.008,0.3,16
GSD,20180207,0.003,36,0.025,0.014,0.6,22
GSD,20180208,0.003,55,0.012,0.036,0.8,43
GSD,20180209,0.003,63,0.018,0.049,1,50
GSD,20180210,0.002,59,0.03,0.022,0.5,33
GSD,20180211,0.002,39,0.043,0.004,0.4,13
GSD,20180212,0.002,38,0.035,0.008,0.4,17
GSD,20180213,0.002,37,0.033,0.01,0.2,14
GSD,20180214,0.003,61,0.046,0.01,0.3,29
GSD,20180215,0.004,43,0.042,0.005,0.3,22
GSD,20180216,0.004,39,0.037,0.008,0.4,22
GSD,20180217,0.003,40,0.046,0.003,0.2,16
GSD,20180218,0.003,36,0.026,0.01,0.3,18
GSD,20180219,0.004,53,0.018,0.027,0.5,39
GSD,20180220,0.003,61,0.025,0.026,0.5,50
GSD,20180221,0.003,35,0.033,0.011,0.4,21
GSD,20180222,0.003,42,0.029,0.02,0.5,26
GSD,20180223,0.002,62,0.049,0.009,0.5,48
GSD,20180224,0.005,74,0.049,0.006,0.5,55
GSD,20180225,0.006,47,0.033,0.011,0.5,32
GSD,20180226,0.005,46,0.021,0.02,0.6,30
GSD,20180227,0.003,47,0.021,0.033,0.6,31
GSD,20180228,0.003,38,0.034,0.021,0.5,30
NED,20180201,0.003,52,0.017,0.033,0.5,22
NED,20180202,0.004,54,0.013,0.041,0.6,24
NED,20180203,0.002,37,0.035,0.014,0.4,14
NED,20180204,0.002,27,0.04,0.007,0.3,13
NED,20180205,0.002,28,0.036,0.013,0.3,14
NED,20180206,0.002,32,0.032,0.017,0.4,18
NED,20180207,0.003,40,0.023,0.025,0.4,20
NED,20180208,0.005,65,0.01,0.047,0.7,36
NED,20180209,0.005,76,0.016,0.053,0.8,43
NED,20180210,0.004,74,0.029,0.029,0.6,32
NED,20180211,0.002,46,0.041,0.01,0.4,16
NED,20180212,0.002,,0.032,0.018,0.4,20
NED,20180213,0.003,43,0.036,0.021,0.4,15
NED,20180214,0.003,74,0.045,0.022,0.5,31
NED,20180215,0.004,52,0.037,0.016,0.4,23
NED,20180216,0.004,46,0.037,0.018,0.5,18
NED,20180217,0.003,42,0.047,0.007,0.3,14
NED,20180218,0.004,41,0.025,0.025,0.5,16
NED,20180219,0.004,65,0.017,0.04,0.6,33
NED,20180220,0.004,75,0.024,0.035,0.6,41
NED,20180221,0.003,38,0.034,0.026,0.4,16
NED,20180222,0.003,49,0.026,0.036,0.5,21
NED,20180223,0.003,74,0.053,0.018,0.5,43
NED,20180224,0.004,87,0.049,0.02,0.5,49
NED,20180225,0.005,51,0.032,0.028,0.5,25
NED,20180226,0.006,56,0.021,0.043,0.7,27
NED,20180227,0.004,58,0.022,0.047,0.6,27
NED,20180228,0.004,45,0.033,0.029,0.6,21
SND,20180201,0.006,60,0.013,0.036,0.7,22
SND,20180202,0.006,65,0.01,0.044,0.8,28
SND,20180203,0.003,48,0.023,0.018,0.5,20
SND,20180204,0.003,39,0.026,0.014,0.4,19
SND,20180205,0.003,42,0.022,0.021,0.4,18
SND,20180206,0.003,39,0.022,0.021,0.5,18
SND,20180207,0.006,50,0.015,0.03,0.6,24
SND,20180208,0.008,73,0.008,0.049,1,33
SND,20180209,0.007,82,0.012,0.05,1,37
SND,20180210,0.006,79,0.02,0.034,0.8,31
SND,20180211,0.003,53,0.028,0.015,0.4,18
SND,20180212,0.003,49,0.023,0.022,0.4,21
SND,20180213,0.005,50,0.021,0.03,0.6,19
SND,20180214,0.006,80,0.026,0.034,0.7,32
SND,20180215,0.006,62,0.026,0.022,0.5,24
SND,20180216,0.006,58,0.022,0.029,0.6,24
SND,20180217,0.004,52,0.03,0.015,0.4,19
SND,20180218,0.007,52,0.014,0.034,0.7,21
SND,20180219,0.006,75,0.009,0.048,0.9,36
SND,20180220,0.006,87,0.018,0.037,0.8,44
SND,20180221,0.006,54,0.022,0.029,0.6,21
SND,20180222,0.006,58,0.02,0.035,0.7,27
SND,20180223,0.004,78,0.032,0.024,0.6,42
SND,20180224,0.006,97,0.03,0.026,0.7,44
SND,20180225,0.007,61,0.019,0.035,0.7,27
SND,20180226,0.007,64,0.014,0.042,0.8,28
SND,20180227,0.005,66,0.015,0.045,0.8,28
SND,20180228,0.004,51,0.026,0.027,0.6,21
JLD,20180201,0.003,49,0.011,0.035,0.6,23
JLD,20180202,0.003,53,0.009,0.036,0.7,29
JLD,20180203,0.002,41,0.024,0.016,0.4,17
JLD,20180204,0.002,30,0.028,0.012,0.4,13
JLD,20180205,0.002,32,0.024,0.015,0.4,15
JLD,20180206,0.002,35,0.022,0.019,0.4,17
JLD,20180207,0.003,42,0.016,0.028,0.4,20
JLD,20180208,0.004,67,0.008,0.042,0.8,42
JLD,20180209,0.004,67,0.014,0.039,0.7,46
JLD,20180210,0.003,68,0.023,0.023,0.5,31
JLD,20180211,0.002,47,0.031,0.011,0.2,13
JLD,20180212,0.002,49,0.026,0.016,0.3,14
JLD,20180213,0.002,43,0.025,0.021,0.4,14
JLD,20180214,0.003,71,0.028,0.031,0.6,29
JLD,20180215,0.004,53,0.026,0.023,0.5,22
JLD,20180216,0.003,49,0.022,0.024,0.5,24
JLD,20180217,0.003,41,0.03,0.015,0.3,14
JLD,20180218,0.003,45,0.016,0.028,0.5,18
JLD,20180219,0.003,64,0.01,0.039,0.7,38
JLD,20180220,0.003,72,0.016,0.032,0.6,44
JLD,20180221,0.003,42,0.021,0.027,0.4,19
JLD,20180222,0.002,46,0.023,0.024,0.4,23
JLD,20180223,0.002,69,0.04,0.015,0.5,44
JLD,20180224,0.004,88,0.036,0.023,0.6,49
JLD,20180225,0.005,53,0.017,0.034,0.6,28
JLD,20180226,0.003,54,0.017,0.03,0.6,29
JLD,20180227,0.002,55,0.018,0.03,0.5,30
JLD,20180228,0.002,42,0.023,0.025,0.5,23
DSD,20180201,0.003,51,0.008,0.03,0.4,26
DSD,20180202,0.003,57,0.006,0.034,0.6,32
DSD,20180203,0.002,43,0.014,0.016,0.3,23
DSD,20180204,0.001,35,0.016,0.01,0.3,19
DSD,20180205,0.002,34,0.013,0.015,0.3,18
DSD,20180206,0.002,40,0.012,0.016,0.4,23
DSD,20180207,0.003,46,0.01,0.022,0.4,25
DSD,20180208,0.004,66,0.005,0.042,0.8,41
DSD,20180209,0.003,69,0.007,0.044,0.8,50
DSD,20180210,0.002,69,0.012,0.027,0.5,39
DSD,20180211,0.001,48,0.016,0.012,0.2,19
DSD,20180212,0.001,51,0.012,0.018,0.3,24
DSD,20180213,0.002,45,0.013,0.022,0.4,20
DSD,20180214,0.002,73,0.017,0.024,0.5,30
DSD,20180215,0.003,53,0.019,0.012,0.3,28
DSD,20180216,0.003,48,0.015,0.018,0.4,25
DSD,20180217,0.002,47,0.019,0.009,0.3,21
DSD,20180218,0.003,47,0.01,0.023,0.4,22
DSD,20180219,0.004,65,0.006,0.035,0.6,40
DSD,20180220,0.003,77,0.01,0.031,0.6,49
DSD,20180221,0.003,44,0.014,0.021,0.3,23
DSD,20180222,0.003,52,0.01,0.028,0.5,29
DSD,20180223,0.002,72,0.019,0.018,0.5,41
DSD,20180224,0.004,80,0.021,0.016,0.6,49
DSD,20180225,0.005,53,0.013,0.023,0.5,32
DSD,20180226,0.004,55,0.009,0.032,0.6,32
DSD,20180227,0.003,63,0.008,0.036,0.6,35
DSD,20180228,0.002,46,0.013,0.026,0.5,28
DHD,20180201,0.005,66,0.01,0.051,0.6,26
DHD,20180202,0.005,71,0.007,0.058,0.9,33
DHD,20180203,0.003,50,0.021,0.032,0.4,18
DHD,20180204,0.002,40,0.024,0.027,0.3,13
DHD,20180205,0.002,43,0.02,0.035,0.4,14
DHD,20180206,0.003,43,0.019,0.034,0.4,19
DHD,20180207,0.005,60,0.013,0.044,0.5,23
DHD,20180208,0.007,79,0.006,0.063,1,43
DHD,20180209,0.008,87,0.008,0.068,1,48
DHD,20180210,0.005,80,0.016,0.05,0.7,33
DHD,20180211,0.004,50,0.027,0.028,0.3,12
DHD,20180212,0.004,44,0.021,0.035,0.4,16
DHD,20180213,0.004,42,0.019,0.041,0.4,14
DHD,20180214,0.005,70,0.022,0.05,0.6,30
DHD,20180215,0.006,63,0.025,0.029,0.4,23
DHD,20180216,0.006,54,0.02,0.036,0.6,23
DHD,20180217,0.004,50,0.03,0.023,0.3,15
DHD,20180218,0.006,53,0.013,0.043,0.6,19
DHD,20180219,0.007,78,0.008,0.059,0.8,39
DHD,20180220,0.006,96,0.014,0.053,0.8,50
DHD,20180221,0.005,54,0.022,0.04,0.5,20
DHD,20180222,0.005,57,0.015,0.051,0.7,27
DHD,20180223,0.003,71,0.027,0.043,0.6,41
DHD,20180224,0.006,106,0.028,0.039,0.7,52
DHD,20180225,0.009,65,0.017,0.045,0.7,30
DHD,20180226,0.006,61,0.014,0.051,0.7,30
DHD,20180227,0.006,62,0.011,0.057,0.7,29
DHD,20180228,0.005,40,0.022,0.039,0.5,21
WPD,20180201,0.003,51,0.011,0.028,0.7,26
WPD,20180202,0.003,52,0.009,0.028,0.8,31
WPD,20180203,0.002,45,0.021,0.016,0.5,18
WPD,20180204,0.002,37,0.027,0.012,0.5,14
WPD,20180205,0.002,39,0.023,0.014,0.5,15
WPD,20180206,0.002,40,0.023,0.015,0.5,18
WPD,20180207,0.003,49,0.018,0.02,0.6,22
WPD,20180208,0.004,64,0.007,0.034,1.1,47
WPD,20180209,0.004,63,0.015,0.031,1,56
WPD,20180210,0.003,69,0.021,0.021,0.7,39
WPD,20180211,0.002,50,0.031,0.01,0.5,12
WPD,20180212,0.002,49,0.028,0.011,0.5,16
WPD,20180213,0.002,47,0.028,0.014,0.4,14
WPD,20180214,0.002,74,0.032,0.019,0.7,29
WPD,20180215,0.003,56,0.026,0.017,0.7,23
WPD,20180216,0.003,52,0.025,0.017,0.8,24
